wavelength,bc01,bc02,bc03,bc04,bc05,bc06,bc07,bc08,bc09,bc10,bc11,bc12,ec01,ec02,ec03,ec04,ec05,ec06,ec07,ec08,lm01,lm02,lm03,lm04,lm05,pa01,pa02,pa03,pa04,pa05,pa06,se01,se02,se03,se04,se05,sa01,sa02,sa03,sa04,sa05,sa06,sa07,sa08,sa09,sa10,sa11
480.6669,1.560178,0.684651,2.96853886,1.824574,0.062203,1.531015,2.821043,2.316119,1.36094,-8.08772,1.849371,1.733832,2.287758,0.196656,2.595207,2.161528,0.239103,4.536203,2.448331,0.941969,9.526852,3.437576,2.207265,1.811278,4.676288,1.313991,2.910443,3.485806,4.637602,1.677056,1.466039,2.12193,-0.46033,0.448229,3.303955,1.071459,2.471665,3.074582,1.190412,6.620853,5.13401,4.550092,5.182079,4.282152,3.519643,4.43457,1.338465
481.0544,4.160511,1.431531,2.710390244,4.257289,1.492901,1.83719,5.281908,4.083645,1.855845,-3.45775,1.594284,3.274926,4.902266,0.524418,1.492244,4.96561,2.689621,4.287559,6.364468,3.391027,1.40638,0.770549,1.947639,3.881236,2.276632,0.875988,4.051783,3.174544,3.113781,0.903033,2.404196,3.665134,1.052206,2.881459,6.270735,3.154772,2.824725,3.259076,6.265339,6.377723,1.357253,3.150081,2.361496,6.081845,14.65333,2.855086,3.711214
481.4419,4.810673,0.373504,2.710427117,2.797701,0.49764,1.592244,6.302333,2.499023,3.959128,7.442795,0.446391,5.843546,3.333599,-1.24549,3.049355,3.563606,1.793124,2.423453,11.18981,4.144565,3.132667,0.651964,2.272193,1.681923,4.79942,1.376589,3.766564,7.282901,3.378817,2.644621,2.521505,3.66518,1.052229,3.906067,3.169099,3.571472,4.378409,4.058486,5.450876,6.620908,4.838913,3.908462,4.32938,8.067776,3.00718,1.336439,1.70352
481.8293,3.12042,0.560199,1.548832799,3.223389,1.555165,3.796916,4.381633,1.828575,3.587902,-5.39162,-0.25506,0.834829,1.63415,-0.98332,2.076172,2.920994,2.271269,7.643115,20.70088,1.946717,4.986534,2.01516,3.570488,4.980938,4.184158,-1.62682,6.277513,5.415508,3.246295,3.031579,5.68803,0.450147,5.063625,4.034102,6.135892,7.440497,0.565045,5.964612,7.079905,10.69058,2.773545,6.591788,4.46062,3.723652,4.543486,1.275776,1.703558
482.2167,2.795385,1.680498,2.129649309,1.824562,0.497642,0.489908,4.38165,5.180899,2.35076,-2.34449,1.721858,0.834787,2.353128,0.131162,1.103114,4.498322,0.298842,4.287668,2.0277,4.207444,3.89956,2.963472,5.647926,6.015996,5.845633,0.0000497,8.61743,4.481803,2.583859,1.483519,3.92887,0.707345,3.74847,1.98506,6.405679,4.702475,1.836179,8.97792,4.57377,8.321845,5.134002,8.575342,4.329424,6.764585,6.589607,3.462612,4.197942
482.6041,2.080297,2.676392,3.162273823,0.547399,2.985852,4.286936,4.141647,7.070537,3.587958,-11.1943,2.232054,0.577959,4.902453,2.425579,5.514966,4.206274,1.673594,5.654846,-0.70015,4.458712,-4.92245,3.437639,4.349619,4.916409,7.814622,2.00241,9.13144,4.668675,1.5239,1.935124,1.99388,2.636505,3.02517,4.034184,4.720124,3.571654,2.471828,7.379178,6.578783,5.892188,4.366956,5.77541,5.051165,6.268198,5.886335,4.130836,4.13722
482.9914,-0.52017,2.178597,3.743112366,5.230588,3.483479,2.388504,3.60136,5.485842,3.340653,1.933947,1.403022,3.275013,1.372693,1.769978,4.282371,7.77004,2.689639,7.519163,1.678124,0.879345,9.589285,3.497,5.19375,4.8518,3.692078,0.876044,8.332352,2.614464,5.697888,1.09656,2.462992,0.064344,2.959406,1.664958,4.787514,4.04781,1.200621,9.962023,4.699242,12.63484,2.596706,7.525589,3.93587,6.206214,7.550474,5.28508,3.224698
483.3786,1.235525,4.232617,3.22691625,1.82473,0.559837,4.899368,3.901642,7.436601,3.711822,-7.61845,1.59428,3.275108,3.660549,-1.31102,5.320634,6.484913,-0.11946,9.756495,4.475642,3.956354,1.789322,2.963602,4.414795,5.369282,6.768798,4.255056,9.017564,1.431825,3.842841,3.547783,3.342612,2.186433,3.222686,3.393938,6.810576,5.476506,4.661026,8.916959,5.075163,8.808326,3.245757,8.750695,6.494574,7.261457,-2.11185,5.589095,4.928
483.7658,6.436185,1.556022,6.260008777,4.439994,3.981325,5.389358,4.862167,4.450025,5.567794,1.816873,-0.57388,2.504302,7.582806,2.163259,7.331767,8.938562,1.673705,12.24234,13.49875,4.961332,-3.19733,8.475869,4.155286,6.986489,8.614894,2.00216,10.15898,4.793199,3.842935,1.999759,2.990763,2.636437,2.104725,4.162579,8.024476,7.024509,5.225874,11.31532,6.954984,10.75217,5.19333,9.509404,6.625759,6.330471,12.60664,6.986299,1.521348
484.153,3.120669,1.618407,4.6465864,5.413361,1.492915,5.267214,7.68338,6.887996,8.042542,3.10518,3.443977,4.045673,5.295051,1.311117,6.099297,8.93879,1.673749,11.43481,7.484541,6.405894,6.202221,8.535288,3.895541,8.539185,8.184582,1.376711,13.64085,3.98421,6.757938,3.612293,2.93209,5.723263,4.209345,4.034432,9.035827,5.119567,6.073682,11.62314,8.083014,13.91103,5.606516,10.2676,9.709199,10.11651,4.992144,6.622236,7.118749
484.5401,3.120907,1.307149,5.227642567,6.204305,3.484079,2.93988,9.844696,7.193402,7.547617,-8.55756,4.273139,3.275283,3.726437,1.507839,7.65694,9.640189,2.271498,12.42949,5.596204,5.46391,-0.8302,7.705825,8.440196,7.504776,9.53882,4.755842,14.7827,6.411883,1.656603,1.870733,4.691695,7.717051,6.576742,4.547094,9.373325,5.357806,3.460683,15.12893,9.085675,15.06594,6.255922,13.12688,9.775031,10.05451,3.009272,4.495678,8.153241
484.9272,5.201254,0.684761,6.066539423,3.284783,5.536647,5.879685,9.54455,9.326582,6.558383,-2.28462,3.124891,3.275343,4.772127,1.901417,7.591857,7.887719,7.531939,14.91558,25.94405,6.782792,3.772941,7.646641,8.570217,10.54518,13.47676,1.877558,19.91975,6.910247,7.818482,4.063983,6.099299,8.167269,5.722078,5.955741,11.12667,8.215272,6.07407,17.71229,9.273808,15.85576,7.672464,14.99381,12.85813,8.565064,15.09892,8.627335,7.666893
485.3142,5.721101,3.610395,6.325516566,6.690809,3.545824,6.85983,11.40555,14.6919,7.424243,-1.87571,4.719796,4.431157,11.30939,4.52342,10.51233,14.8989,8.368558,19.7017,4.335448,8.227618,-1.34219,9.424777,8.960361,11.19271,16.18601,4.443147,23.40242,9.96116,8.878718,7.547344,7.213431,9.389569,5.06457,5.059463,13.2852,11.19169,6.285866,19.31153,10.77832,20.89843,9.856092,16.21949,13.44891,12.84807,10.49414,9.295887,8.092766
